run_id,roi_prior_mu,roi_prior_sigma,roi_prior_dist,qc_status_code,qc_primary_review_check,qc_flagged_channels
multi|google|0.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,0.5,0.5,LogNormal,REVIEW,ROIConsistency,"meta,google"
multi|google|0.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,0.5,1.0,LogNormal,REVIEW,ROIConsistency,"meta,google"
multi|google|0.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,0.5,1.5,LogNormal,REVIEW,ROIConsistency,meta
multi|google|1.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,1.0,0.5,LogNormal,REVIEW,ROIConsistency,"meta,google,tiktok"
multi|google|1.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,1.0,1.0,LogNormal,REVIEW,ROIConsistency,"meta,google"
multi|google|1.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,1.0,1.5,LogNormal,REVIEW,ROIConsistency,"meta,google"
multi|google|1.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,1.5,0.5,LogNormal,FAIL,Baseline,
multi|google|1.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,1.5,1.0,LogNormal,REVIEW,ROIConsistency,"meta,google"
multi|google|1.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,1.5,1.5,LogNormal,REVIEW,ROIConsistency,"meta,google"
multi|google|2.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,2.0,0.5,LogNormal,FAIL,Baseline,
multi|google|2.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,2.0,1.0,LogNormal,REVIEW,Baseline,
multi|google|2.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,2.0,1.5,LogNormal,REVIEW,ROIConsistency,"meta,google"
multi|google|2.500000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,2.5,0.5,LogNormal,FAIL,Baseline,
multi|google|2.500000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,2.5,1.0,LogNormal,FAIL,Baseline,
multi|google|2.500000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,2.5,1.5,LogNormal,REVIEW,ROIConsistency,google
multi|google|3.000000|0.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,3.0,0.5,LogNormal,FAIL,Baseline,
multi|google|3.000000|1.000000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,3.0,1.0,LogNormal,FAIL,Baseline,
multi|google|3.000000|1.500000|LogNormal|alpha=0p3|ec=0p5|slope=1p2|lag=4|decay=geometric,3.0,1.5,LogNormal,REVIEW,Baseline,
